step,gate_operation,comparison_type,max_diff,total_diff,mean_diff,n_qubits,a,b,c,timestamp
-1,INITIAL,CDF_vs_DeepQ,0.004872025022036697,0.021642964102909567,0.002705370512863696,3,20,0,0,2026-02-28T06:53:16.003815
-1,INITIAL,Orig_vs_DeepQ,0.005111544220047227,0.024123900110157668,0.0030154875137697085,3,20,0,0,2026-02-28T06:53:16.003815
-1,INITIAL,CDF_vs_Orig,0.0019518194158622477,0.008467786335985375,0.0010584732919981718,3,20,0,0,2026-02-28T06:53:16.003815
0,S(qubit=0),CDF_vs_DeepQ,0.004872039255038445,0.021643057200478835,0.0027053821500598544,3,20,0,0,2026-02-28T06:53:16.003815
0,S(qubit=0),Orig_vs_DeepQ,0.005111551670010418,0.024123984132111774,0.0030154980165139718,3,20,0,0,2026-02-28T06:53:16.003815
0,S(qubit=0),CDF_vs_Orig,0.0019518194158622477,0.008467777473357311,0.0010584721841696639,3,20,0,0,2026-02-28T06:53:16.003815
1,S(qubit=0),CDF_vs_DeepQ,0.004872039255038445,0.02164314377270419,0.0027053929715880236,3,20,0,0,2026-02-28T06:53:16.003815
1,S(qubit=0),Orig_vs_DeepQ,0.005111551670010418,0.02412404970588211,0.003015506213235264,3,20,0,0,2026-02-28T06:53:16.003815
1,S(qubit=0),CDF_vs_Orig,0.0019518194158622477,0.008467799061245266,0.0010584748826556582,3,20,0,0,2026-02-28T06:53:16.003815
2,Z(qubit=2),CDF_vs_DeepQ,0.004872039255038445,0.02164290649914907,0.0027053633123936337,3,20,0,0,2026-02-28T06:53:16.003815
2,Z(qubit=2),Orig_vs_DeepQ,0.005111551670010418,0.02412385611634925,0.003015482014543656,3,20,0,0,2026-02-28T06:53:16.003815
2,Z(qubit=2),CDF_vs_Orig,0.0019518194158622477,0.008467777473357311,0.0010584721841696639,3,20,0,0,2026-02-28T06:53:16.003815
3,Y(qubit=0),CDF_vs_DeepQ,0.004872039255038445,0.02164287022196583,0.0027053587777457287,3,20,0,0,2026-02-28T06:53:16.003815
3,Y(qubit=0),Orig_vs_DeepQ,0.005111551670010418,0.024123805460934903,0.003015475682616863,3,20,0,0,2026-02-28T06:53:16.003815
3,Y(qubit=0),CDF_vs_Orig,0.0019518194158622477,0.008467802652075173,0.0010584753315093967,3,20,0,0,2026-02-28T06:53:16.003815
4,T(qubit=0),CDF_vs_DeepQ,0.004872039255038445,0.02164291953102787,0.002705364941378484,3,20,0,0,2026-02-28T06:53:16.003815
